english,finnish,amnesiac abilities,savant infos
The Recluse has been seen as evil by an investigative character. ,The Recluse on nähty pahana tutkivasta hahmosta. ,,The longest strain of townsfolk is exactly 4 
The Undertaker has seen two evil characters in a row. ,The Undertaker on nähnyt kaksi pahaa hahmoa peräkkäin. ,,2 characters have the same role. 
The Chef saw a count of zero on the first night. ,The Chef näki luvun nolla ensimmäisenä yönä. ,,At least one player is droisoned. 
The Poisoner has targeted the same player twice in the game. ,The Poisoner on kohdistanut kykynsä samaan pelaajaan kahdesti pelissä. ,,The storyteller did not chose the kill last night. 
The Mayor's ability has not yet been triggered in the game. ,The Mayorin kykyä ei ole vielä laukaistu pelissä. ,,The Amnesiac ability affected set-up. 
The Scarlet Woman became the new Imp. ,The Scarlet Womanista tuli uusi Imp. ,,There are 3 dead evil players. 
A good Twin has been killed while their evil counterpart is still alive. ,"Hyvä Twin on tapettu, kun heidän paha vastineensa on edelleen elossa. ",,The same player has been cerenovus locked the entire game 
The Librarian received incorrect information due to poisoning. ,The Librarian sai väärää tietoa myrkytyksen vuoksi. ,,One demon has been executed this game. 
The Butler has not voted on any day. ,The Butler ei ole äänestänyt yhtenäkään päivänä. ,,The amnesiac's ability created 3 lunatics in addition to the demon. 
The Ravenkeeper triggered their ability on the second night. ,The Ravenkeeper laukaisi kykynsä toisena yönä. ,,A sober empath in your position would have learned a 2 last night. 
The Fortune Teller correctly identified the demon on the first night. ,The Fortune Teller tunnisti oikein demonin ensimmäisenä yönä. ,,The longest strain of townsfolk is exactly 4
The Investigator saw one of the minions as their target. ,The Investigator näki yhden apulaisista kohteenaan. ,,2 characters have the same role.
The Drunk believes they are the Empath. ,The Drunk uskoo olevansa Empath. ,,At least one player is droisoned.
The Innkeeper has successfully protected an Outsider. ,The Innkeeper on onnistuneesti suojellut Outsideria. ,,The storyteller did not chose the kill last night.
A Monk's protection was thwarted by poison. ,The Monkin suojelua haitattiin myrkyllä. ,,The Amnesiac ability affected set-up.
The Gambler took a guess and survived the night. ,The Gambler arvasi ja selvisi yön yli. ,,There are 3 dead evil players.
The Exorcist has successfully exorcised the demon. ,The Exorcist on onnistuneesti manaamaan demonin ulos. ,,The same player has been cerenovus locked the entire game/
The Chambermaid has confirmed two players had the same ability used on them last night. ,"The Chambermaid on vahvistanut, että kahdella pelaajalla oli sama kyky käytössä viime yönä. ",,One demon has been executed this game.
The Mutant has not been targeted or killed due to their ability. ,The Mutantia ei ole kohdennettu tai tapettu heidän kykynsä vuoksi. ,,The amnesiac's ability created 3 lunatics in addition to the demon.
The Vigormortis demon has not used their swap ability yet. ,The Vigormortis demoni ei ole vielä käyttänyt vaihtokykyään. ,,A sober empath in your position would have learned a 2 last night.
The Sailor tied their fate to an evil player. ,The Sailor sitoi kohtalonsa pahaan pelaajaan. ,,The amnesiac's ability created 3 lunatics in addition to the demon. 
"The Vortox is in play, causing all good players to receive false information. ","The Vortox on pelissä, saaden kaikki hyvät pelaajat saamaan väärää tietoa. ",,A sober empath in your position would have learned a 2 last night. 
The Sweetheart caused two players to die in the same night. ,The Sweetheart aiheutti kahden pelaajan kuoleman samana yönä. ,,The amnesiac's ability created 3 lunatics in addition to the demon.
The Courtier brokered a deal that protected the demon for a day. ,"The Courtier neuvotteli diilin, joka suojeli demonia päivän ajan. ",,A sober empath in your position would have learned a 2 last night.
"The Fool has been executed, causing no further executions for two days. ","The Fool teloitettiin, mikä esti enemmät teloitukset kahden päivän ajan. ",,The Amnesiac ability affected set-up. 
The Serenovus has affected an evil player's ability. ,The Serenovus on vaikuttanut pahan pelaajan kykyyn. ,,There are 3 dead evil players. 
The Juggernaut has gained additional abilities after multiple player deaths. ,The Juggernaut on saanut lisää kykyjä useiden pelaajien kuoleman jälkeen. ,,The same player has been cerenovus locked the entire game /
The Klutz was nominated and caused their own execution. ,The Klutz nimettiin ja aiheutti oman teloituksensa. ,,One demon has been executed this game. 
The Mephit caused a neighboring player to be executed instead of their target. ,The Mephit aiheutti viereisen pelaajan teloituksen kohteen sijaan. ,,The longest strain of townsfolk is exactly 4
The Alchemist used a once-per-game ability to gain another player's ability for a night. ,The Alchemist käytti kerran-pelissä-kykyään saadakseen toisen pelaajan kyvyn yhdeksi yöksi. ,,2 characters have the same role.
The Harlot visited an evil player and was killed as a result. ,The Harlot vieraili pahan pelaajan luona ja kuoli sen seurauksena. ,,At least one player is droisoned.
The Minstrel caused all poisoned and drunk players to act normally for a night. ,The Minstrel sai kaikki myrkytetyt ja humalaiset pelaajat toimimaan normaalisti yhden yön ajan. ,,The storyteller did not chose the kill last night.
The Pacifist caused a failed execution vote. ,The Pacifist aiheutti epäonnistuneen teloitusäänestyksen. ,,The Amnesiac ability affected set-up.
"The Zombuul has not been identified, allowing them to kill additional players. ","The Zombuul ei ole tunnistettu, sallien heidän tappaa lisää pelaajia. ",,There are 3 dead evil players.
The Lycanthrope caused a death last night due to a visit. ,The Lycanthrope aiheutti kuoleman viime yönä vierailun takia. ,,The same player has been cerenovus locked the entire game/
The Evil Twin has been identified by the Good Twin. ,The Evil Twin on tunnistettu The Good Twinin toimesta. ,,One demon has been executed this game.
The Agoraphobe has stayed home every night. ,The Agoraphobe on pysytellyt kotona joka yö. ,,The amnesiac's ability created 3 lunatics in addition to the demon.
The Gossip's statement led to an evil player's execution. ,The Gossipin lausunto johti pahan pelaajan teloitukseen. ,,A sober empath in your position would have learned a 2 last night.
The Moonchild has successfully protected a player. ,The Moonchild on onnistuneesti suojannut pelaajaa. ,,Gainted the ability Day 2 after Spoons died.
The Cannibal gained the ability of an executed Outsider. ,The Cannibal sai kyvyn teloitetulta Outsiderilta. ,,The longest strain of townsfolk is exactly 4
The Clockmaker received a zero as their clue. ,The Clockmaker sai nollan vihjeekseen. ,,2 characters have the same role.
"The Nodachi killed their target, revealing them as the demon. ","The Nodachi tappoi kohteensa, paljastaen heidät demoniksi. ",,At least one player is droisoned.
The Shabaloth has remained undiscovered and increased its killing power. ,The Shabaloth on pysynyt löytämättömänä ja lisännyt tappovoimaansa. ,,The storyteller did not choose the kill last night.
The Vigilante took a shot but did not kill a demon. ,"The Vigilante ampui, mutta ei tappanut demonia. ",,The Amnesiac ability affected set-up.
The Windwalker used their ability and resurrected the night after their death. ,The Windwalker käytti kykyään ja heräsi yön jälkeen kuolemansa jälkeen. ,,There are 3 dead evil players.
The Dreamer has seen the alignment of two players. ,The Dreamer on nähnyt kahden pelaajan linjauksen. ,,The same player has been cerenovus locked the entire game/
The Pukka changed into a new character after being executed. ,The Pukka muuttui uudeksi hahmoksi teloituksen jälkeen. ,,One demon has been executed this game.
The Aristocrat ensured an evil player's execution. ,The Aristocrat varmisti pahan pelaajan teloituksen. ,,FALSE: The balloonist saw an outsider the first night
The Poet's information caused confusion among the good players. ,The Poetin tiedot aiheuttivat sekaannusta hyvien pelaajien keskuudessa. ,,FALSE: All minions are sitting next to an outsider
The Baliff protected the demon from execution. ,The Baliff suojeli demonia teloitukselta. ,,TRUE: One of your neighbors is evil
The Cerenovus ability has affected the same player twice. ,The Cerenovus kyky on vaikuttanut samaan pelaajaan kahdesti. ,,FALSE: There is a drunk that believes they are an ongoing information role
The No Dashii has not chosen to kill every night. ,The No Dashii ei ole valinnut tappaa joka yö. ,,FALSE: There is an amnesiac ability that is related to spelling
The Teetotaler has been identified as drunk by other players. ,The Teetotaler on tunnistettu humalaiseksi muiden pelaajien toimesta. ,,FALSE: There is a player that is sat next to two evil players
The Nagual turned into a demon due to the death of the original demon. ,The Nagual muuttui demoniksi alkuperäisen demonin kuoleman takia. ,,FALSE: The demon is an Fang Gu
The Helmsman redirected the demon's kill. ,The Helmsman ohjasi demonin tapon toiseen kohteeseen. ,,FALSE: All outsiders are dead
The Bandit is now working with the good team after being found out. ,The Bandit tekee nyt yhteistyötä hyvän joukkueen kanssa paljastumisensa jälkeen. ,,1.) the amnesiac ability does not affect minion info or the cerenovus is in play
The Tinker's death led to a surprise execution. ,The Tinkerin kuolema johti yllätysteloitukseen. ,,2.) chef 0  or oracle 0
The Feral Child identified the demon but was not believed. ,"The Feral Child tunnisti demonin, mutta häntä ei uskottu. ",,3.) the outsider count has been modified or the demon has an odd number of vowels in their seat name
The Golem has not been targeted by the demon. ,The Golemia ei ole kohdennettu demonin toimesta. ,,4.) the chambermaid is in play or the sage is a demon bluff
The Damsel caused chaos by making players believe they're the demon. ,The Damsel aiheutti kaaosta saaden pelaajat uskomaan olevansa demoni. ,,5.) the amne power does not involve other characters powers or neither of my neighbors were the marionette
The Conjurer's ability led to the identification of an Outsider. ,The Conjurerin kyky johti Outsiderin tunnistamiseen. ,,Ryan is the demon
The Ostler redirected a player's ability successfully. ,The Ostler ohjasi pelaajan kyvyn onnistuneesti. ,,Dan is the demon
The Assassin successfully eliminated a key Townsfolk. ,The Assassin onnistuneesti eliminoi avain Townsfolkin. ,,D1: either there is a drunk in play 
"The Bureaucrat changed the voting order, causing confusion. ","The Bureaucrat muutti äänestysjärjestystä, aiheuttaen sekaannusta. ",,D2: either 1 evil dead or no heretic
The Outsider count was reduced by the Philanthropist. ,Outsiderien määrää vähennettiin The Philanthropistin toimesta. ,,there is a cerenovus in play
The Nihilist believes they have become an evil player. ,The Nihilist uskoo muuttuneensa pahaksi pelaajaksi. ,,no heretic
The Mortician knows the cause of the last death. ,The Mortician tietää viimeisen kuoleman syyn. ,,
The Snake Charmer took over the role of a demon. ,The Snake Charmer otti demonin roolin. ,,
The Heretic wants the evil team to win without the demon dying. ,The Heretic haluaa pahan joukkueen voittavan ilman demonin kuolemaa. ,,
The Puppeteer has made another player use their ability. ,The Puppeteer on saanut toisen pelaajan käyttämään kykyään. ,,
The Mathematician received a count of three on the first night. ,The Mathematician sai luvun kolme ensimmäisenä yönä. ,,
The Siren's song redirected the demon's kill. ,The Sirenin laulu ohjasi demonin tapon toiseen kohteeseen. ,,
The Altruist successfully brought back a dead player. ,The Altruist toi onnistuneesti kuolleen pelaajan takaisin. ,,
The Gremlin swapped two player's roles without their knowledge. ,The Gremlin vaihtoi kahden pelaajan rooleja heidän tietämättään. ,,
The Town Crier's announcement was accurate last night. ,The Town Crierin ilmoitus oli tarkka viime yönä. ,,
The Seamstress confirmed two players have the same alignment. ,"The Seamstress vahvisti, että kahdella pelaajalla on sama linjaus. ",,
The Ritualist's ceremony gave accurate information. ,The Ritualistin seremonia antoi tarkan tiedon. ,,
The Oracle has had accurate death predictions every night. ,The Oracle on tehnyt tarkat kuolemaennusteet joka yö. ,,
The Mercenary has been paid by both the good and evil teams. ,The Mercenary on saanut maksun sekä hyvältä että pahalta joukkueelta. ,,
The Fiddler caused no deaths during the last night. ,The Fiddler ei aiheuttanut kuolemia viime yönä. ,,
The Huntsman has protected a player from death. ,The Huntsman on suojannut pelaajaa kuolemalta. ,,
"The Duelist challenged another player, leading to their execution. ","The Duelist haastoi toisen pelaajan, johtaen heidän teloitukseensa. ",,
The Innkeeper shielded two players last night. ,The Innkeeper suojeli kahta pelaajaa viime yönä. ,,
The Bestman has taken over the demon's role after they were killed. ,The Bestman on ottanut demonin roolin tämän kuoltua. ,,
The Pixie has mimicked the Seer's ability successfully. ,The Pixie on onnistuneesti jäljitellyt The Seer's kykyä. ,,
The Mutineer has caused a chaos in the voting process. ,The Mutineer on aiheuttanut kaaosta äänestysprosessissa. ,,
The Crier's announcement was misunderstood by the village. ,The Crierin ilmoitusta ei ymmärretty kylässä. ,,
The Witchdoctor has protected an Outsider last night. ,The Witchdoctor suojeli Outsideria viime yönä. ,,
There is no Spy in the current game. ,Pelissä ei ole Spyta. ,,
"The Choirboy has sung, causing the Demon to skip their kill. ","The Choirboy lauloi, saaden Demonin jättämään tapponsa väliin. ",,
The Mapmaker knows the location of the Imp. ,The Mapmaker tietää missä Imp on. ,,
The Nanny has kept the demon at bay during the first night. ,The Nanny piti demonin loitolla ensimmäisen yön ajan. ,,
The Demon hasn't killed for two consecutive nights. ,Demon ei ole tappanut kahtena peräkkäisenä yönä. ,,
"The Sage has seen the bluffs, but hasn't shared them yet. ","The Sage on nähnyt bluffit, mutta ei ole vielä jakanut niitä. ",,
The King's aura has prevented a demon kill. ,The Kingin aura esti demonin tapon. ,,
The Voodoo Loa turned a good player into a Minion. ,The Voodoo Loa muutti hyvän pelaajan apulaiseksi. ,,
The Professor has granted a dead player's ability to another. ,The Professor on antanut kuolleen pelaajan kyvyn toiselle. ,,
The Noble's information has misled the good team. ,The Noble'n tiedot ovat johtaneet hyvän joukkueen harhaan. ,,
The Oracle hasn't had any vision since the start of the game. ,The Oracle ei ole nähnyt mitään pelin alusta asti. ,,
The Demon was the first player to die. ,"Demon oli ensimmäinen pelaaja, joka kuoli. ",,
The Gravedigger knows the true role of the last deceased player. ,The Gravedigger tietää viimeksi kuolleen pelaajan todellisen roolin. ,,
The Minstrel made all poisoned players receive true information. ,The Minstrel sai kaikki myrkytetyt pelaajat saamaan oikeaa tietoa. ,,
The Chambermaid knows two players who woke up together last night. ,"The Chambermaid tietää kaksi pelaajaa, jotka heräsivät yhdessä viime yönä. ",,
The Juggernaut hasn't received any additional powers yet. ,The Juggernaut ei ole vielä saanut lisävoimia. ,,
The Imposter successfully bluffed as a Townsfolk. ,The Imposter on onnistuneesti bluffannut olevansa Townsfolk. ,,
The Sailor hasn't tied their fate to any player. ,The Sailor ei ole sitonut kohtaloaan mihinkään pelaajaan. ,,
The Virgin caused an execution without being nominated. ,The Virgin aiheutti teloituksen ilman ehdotusta. ,,
The Empath has received a zero every night. ,The Empath on saanut nollan joka yö. ,,
The Lunatic believes they are a Minion. ,The Lunatic uskoo olevansa Minion. ,,
The Wanderer has not visited any player so far. ,The Wanderer ei ole vieraillut yhdelläkään pelaajalla toistaiseksi. ,,
The Altruist attempted to revive an evil player. ,The Altruist yritti herättää pahan pelaajan henkiin. ,,
The Town Crier's announcement was false last night. ,The Town Crierin ilmoitus oli väärä viime yönä. ,,
"The Barber swapped two players, causing a change in the demon. ","The Barber vaihtoi kahta pelaajaa, aiheuttaen demonin muutoksen. ",,
The Poisoner was targeted by the Exorcist last night. ,The Poisoneria kohdennettiin The Exorcistin toimesta viime yönä. ,,
The Outsider count is higher than originally believed. ,Outsiderien määrä on korkeampi kuin alun perin uskottiin. ,,
The Sage mistakenly identified the Imp. ,The Sage tunnisti virheellisesti Impin. ,,
The Investigator received false information due to the Vortox. ,The Investigator sai väärää tietoa Vortoxin vuoksi. ,,
The Monk's protection was disrupted by the Witch. ,The Monkin suojaus häirittiin The Witchin toimesta. ,,
The Flowergirl saw the demon abstain from voting. ,The Flowergirl näki demonin pidättäytyvän äänestämisestä. ,,
The King has ensured a good player's execution. ,The King on varmistanut hyvän pelaajan teloituksen. ,,
The Virgin has not been nominated yet. ,The Virginiä ei ole vielä ehdotettu. ,,
The Slayer's ability successfully killed a Minion. ,The Slayerin kyky tappoi onnistuneesti apulaisen. ,,
The Drunk was identified as the Demon by the Seer. ,The Drunk tunnistettiin Demoniksi The Seerin toimesta. ,,
The Soldier successfully repelled the Demon's attack. ,The Soldier torjui onnistuneesti Demonin hyökkäyksen. ,,
The Recluse is believed to be a Minion by the Townsfolk. ,The Reclusea pidetään apulaisena Townsfolkin keskuudessa. ,,
The Baliff's power was activated due to a tie vote. ,The Baliffin voima aktivoitiin tasapeliäänestyksen vuoksi. ,,
"The Ravenkeeper's ability was triggered, but they received no information. ","The Ravenkeeperin kyky laukaistiin, mutta he eivät saaneet tietoa. ",,
"The Fortune Teller received a ""no"" ping last night. ","The Fortune Teller sai ""ei"" merkinnän viime yönä. ",,
The Fool has convinced the village they are the Seer. ,The Fool on vakuuttanut kylän olevansa The Seer. ,,
The Mutineer influenced the votes against a good player. ,The Mutineer vaikutti ääniin hyvää pelaajaa vastaan. ,,
The Pixie chose to mimic the Demon's ability. ,The Pixie valitsi jäljitellä Demonin kykyä. ,,
The Sailor is bound to the Gambler's fate. ,The Sailor on sidottu The Gamblerin kohtaloon. ,,
The Mayor's presence has shifted the voting dynamics. ,The Mayorin läsnäolo on muuttanut äänestysdynamiikkaa. ,,
The Gossip's information has been consistent every night. ,The Gossipin tiedot ovat olleet johdonmukaisia joka yö. ,,
The Mayor's presence shifted the voting power in favor of good.,The Mayorin läsnäolo on muuttanut äänestysvoimaa hyvien hyväksi.,,
The Exorcist believes they have exorcised the Demon.,The Exorcist uskoo manaavansa Demonin.,,
The Lunatic has convinced themselves they are the Imp.,"The Lunatic on vakuuttunut, että he ovat Imp.",,
The Witch's curse was lifted by the Monk's protection.,The Witchin kirous poistettiin The Monkin suojauksella.,,
The Flowergirl saw multiple demon votes last night.,The Flowergirl näki useita demoniäänestyksiä viime yönä.,,
The Butler has imposed strict voting rules.,The Butler on asettanut tiukat äänestysrajoitukset.,,
The Sage received a vision of the true Demon.,The Sage sai vision todellisesta Demosta.,,
The Gambler has not taken any risks so far.,The Gambler ei ole ottanut riskejä tähän mennessä.,,
The Sailor has not yet tied their fate to anyone.,The Sailor ei ole vielä yhdistänyt kohtaloaan kenenkään kanssa.,,
The Slayer's attempt to kill the Demon was unsuccessful.,The Slayerin yritys tappaa Demon epäonnistui.,,
The Recluse has been identified as a Townsfolk by an investigator.,The Recluse on tunnistettu Townsfolkin toimesta tutkijan toimesta.,,
The Baron is believed to be in play due to the Outsider count.,The Baronia uskotaan olevan pelissä Outsiderien määrän vuoksi.,,
The Poisoner has avoided targeting obvious Townsfolk roles.,The Poisoner on välttänyt ilmeisten Townsfolk-roolien kohdentamista.,,
The Clockmaker received a high number as their clue.,The Clockmaker sai korkean numeron vihjeenään.,,
The Chef believes there are multiple pairs of evil players.,"The Chef uskoo, että pahoilla pelaajilla on useita pareja.",,
The Monk's protection was redirected by another player.,The Monkin suojaa ohjattiin toisen pelaajan toimesta.,,
The Baliff's presence has deterred nominations.,The Baliffin läsnäolo on estänyt ehdotuksia.,,
The Fortune Teller's predictions have been consistent.,The Fortune Tellerin ennusteet ovat olleet johdonmukaisia.,,
The Virgin has not been nominated for fear of the nominator's death.,The Virginia ei ole ehdotettu pelossa ehdottajan kuolemasta.,,
The Investigator has kept their findings a secret.,The Investigator on pitänyt löytönsä salassa.,,
The Washerwoman's information corroborates with another player's claim.,The Washerwomanin tiedot vahvistavat toisen pelaajan väitteen.,,
The Drunk's misinformation has misled the good team.,The Drunkin väärät tiedot ovat johtaneet hyvän joukkueen harhaan.,,
The Juggernaut has gained multiple powers already.,The Juggernaut on jo saanut useita voimia.,,
The Vortox is causing good players to doubt their information.,The Vortox saa hyvät pelaajat epäilemään tietojaan.,,
The Heretic's behavior has been suspicious to the village.,The Hereticin käytös on ollut kylälle epäilyttävää.,,
The Ravenkeeper is waiting for the right moment to use their ability.,The Ravenkeeper odottaa oikeaa hetkeä käyttääkseen kykyään.,,
The Imp has bluffed as a Townsfolk role.,The Imp on bluffannut olevansa Townsfolk-rooli.,,
The Pixie decided to mimic the Outsider role last night.,The Pixie päätti jäljitellä Outsider-roolia viime yönä.,,
The Vigilante is unsure about taking the shot.,The Vigilante on epävarma ottaako laukausta.,,
The Pukka has successfully deceived the village with their claims.,The Pukka on onnistuneesti huijannut kylää väitteillään.,,
The Outsider roles have caused confusion in the village.,Outsider-roolit ovat aiheuttaneet hämmennystä kylässä.,,
The Flowergirl believes the Demon did not vote.,"The Flowergirl uskoo, että Demon ei äänestänyt.",,
The Exorcist's ability might have prevented a death last night.,The Exorcistin kyky on saattanut estää kuoleman viime yönä.,,
The King's influence has changed the outcome of several votes.,The Kingin vaikutus on muuttanut useiden äänestysten lopputulosta.,,
The Seer has identified two good players so far.,The Seer on tunnistanut kaksi hyvää pelaajaa tähän mennessä.,,
The Lunatic is under the impression they are the Mayor.,The Lunatic luulee olevansa The Mayor.,,
The Monk has been consistently protecting the Slayer.,The Monk on johdonmukaisesti suojellut The Slayeria.,,
The Barber has not yet used their game-changing ability.,The Barber ei ole vielä käyttänyt peliä muuttavaa kykyään.,,
The Philanthropist enhanced the power of a Townsfolk.,The Philanthropist paransi Townsfolkin voimaa.,,
The Vigilante is saving their shot for a confirmed evil player.,The Vigilante säästää laukaustaan vahvistetulle pahalle pelaajalle.,,
The Soldier's immunity might have prevented a kill.,The Soldierin immuunisuus on saattanut estää tapon.,,
The Voodoo Loa has cursed multiple players.,The Voodoo Loa on kironnut useita pelaajia.,,
The Sailor bound their fate to a confirmed good player.,The Sailor sitoi kohtalonsa vahvistettuun hyvään pelaajaan.,,
The Chambermaid confirmed no players woke up together last night.,"The Chambermaid vahvisti, ettei pelaajat heränneet yhdessä viime yönä.",,
The Saint's presence has made the village cautious about executions.,The Saintin läsnäolo on tehnyt kylästä varovaista teloitusten suhteen.,,
The Ravenkeeper's information contradicted another player's claim.,The Ravenkeeperin tiedot ovat ristiriidassa toisen pelaajan väitteen kanssa.,,
The Witch avoided cursing the Imp.,The Witch vältti Impin kiroamisen.,,
The Pukka has been changing their claims every day.,The Pukka on vaihtanut väitteitään joka päivä.,,
The Gossip's statement caused an uproar in the village.,The Gossipin lausunto aiheutti hälinän kylässä.,,
The Chef's information has been verified by several players.,The Chef'in tiedot on vahvistanut useat pelaajat.,,
The Heretic is suspected of siding with the evil team.,The Hereticiä epäillään pahan joukkueen kannattamisesta.,,
"The Empath received a ""zero"" last night.","The Empath sai ""nollan"" viime yönä.",,
The Recluse was targeted by the Demon thinking they were a Townsfolk.,The Recluse oli Demonin kohde luullen heitä Townsfolkiksi.,,
The Gambler's risky guess was accurate.,The Gamblerin riskialtis arvaus osui oikeaan.,,
The Investigator is certain one of the two players is a Minion.,"The Investigator on varma, että yksi kahdesta pelaajasta on apulainen.",,
The Fortune Teller is unsure about their nightly results.,The Fortune Teller on epävarma yöllisistä tuloksistaan.,,
The Serenovus's ability affected a key good player.,The Serenovusin kyky vaikutti keskeiseen hyvään pelaajaan.,,
The Drunk is under the impression they are the Soldier.,The Drunk luulee olevansa The Soldier.,,
The Butler's voting restriction has been ignored.,The Butlerin äänestysrajoitusta on sivuutettu.,,
The Juggernaut has not yet reached their full potential.,The Juggernaut ei ole vielä saavuttanut täyttä potentiaaliaan.,,
The Undertaker has seen the role of the last player executed.,The Undertaker on nähnyt viimeksi teloitetun pelaajan roolin.,,
The Monk believes they have successfully protected another player.,The Monk uskoo onnistuneesti suojelleensa toista pelaajaa.,,
The Virgin was nominated but no death followed.,"The Virginia ehdotettiin, mutta kuolemaa ei seurannut.",,
The Chef has not shared their number with the group.,The Chef ei ole jakanut numeroaan ryhmälle.,,
The Ravenkeeper is awaiting the right moment to reveal their findings.,The Ravenkeeper odottaa oikeaa hetkeä paljastaakseen löydöksensä.,,
The Slayer attempted to kill an Outsider last night.,The Slayer yritti tappaa Outsiderin viime yönä.,,
The Recluse was viewed as a Minion by an investigator.,The Reclusea katsottiin apulaisena tutkijan toimesta.,,
The Investigator has not yet corroborated their findings.,The Investigator ei ole vielä vahvistanut löytöjään.,,
The Drunk has been misinterpreting their information all game.,The Drunk on tulkinnut tietonsa väärin koko pelin ajan.,,
The Poisoner may have targeted the Empath last night.,The Poisoner on saattanut kohdentaa Empathiin viime yönä.,,
The Soldier's immunity has been put to the test.,The Soldierin immuunisuus on testattu.,,
The Washerwoman's information confirmed another player's role.,The Washerwomanin tiedot vahvistivat toisen pelaajan roolin.,,
The Spy has been acting suspicious to mislead the good team.,The Spy on käyttäytynyt epäilyttävästi johdatellakseen hyvää joukkuetta.,,
The Butler's restrictions have made voting challenging.,The Butlerin rajoitukset ovat tehneet äänestyksestä haastavaa.,,
